Computation Range,DeviceId,Mean Absolout Error,Predicted Water Consumtion,What Hour,r2_score
8,57975970,0.022863270567341776,0.5405530432579355,7,-0.010462668249803686
3,57222610,0.06942453435923261,-0.17193719766470256,1,
3,57976038,0.10629132608693492,0.6139799821182813,7,
3,57976055,0.11480004442557834,0.6652456025471811,6,
3,57976056,0.10629132608693492,0.6139799821182813,7,
3,57975957,0.10629132608693492,0.6139799821182813,7,
3,57976052,0.10629132608693492,0.6139799821182813,7,
3,57975969,0.1070514455755206,0.6043035700457168,7,
3,57975961,0.11480004442557834,0.6652456025471811,6,
3,57976050,0.10629132608693492,0.6139799821182813,7,
3,57975959,0.1070514455755206,0.6043035700457168,7,
3,57222616,0.06942453435923261,-0.17193719766470256,1,
3,57975948,0.12571494269532524,0.7202713082052162,5,
3,57976035,0.08233403141049833,0.47638013127875595,7,
3,57222613,0.06942453435923261,-0.17193719766470256,1,
3,57975958,0.11480004442557834,0.6652456025471811,6,
3,57976041,0.12571494269532524,0.7202713082052162,5,
7,57222614,0.018834786554299654,-0.2919344614022932,5,-0.11994790358389684
3,57975940,0.10629132608693492,0.6139799821182813,7,
6,57976032,0.11197911394784363,0.4305301583614655,7,-0.21439466280840636
3,57975942,0.08233403141049833,0.47638013127875595,6,
3,57975952,0.1070514455755206,0.6043035700457168,7,
3,57975933,0.10629132608693492,0.6139799821182813,7,
3,57975946,0.10629132608693492,0.6139799821182813,7,
3,57976048,0.10629132608693492,0.6139799821182813,7,
3,57976093,0.08233403141049833,0.47638013127875595,2,
3,57975931,0.10629132608693492,0.6139799821182813,7,
8,57976046,0.06285747134766262,0.8078779064150248,2,-0.15502650332796275
3,57976096,0.08607835823671717,0.9202415571646568,2,
3,57975947,0.10475544911067391,0.9990212715016848,1,
9,57975967,0.04178018863577007,0.5399844504154906,7,-3.6649402029625575
3,57975949,0.10629132608693492,0.6139799821182813,7,
6,57961515,0.14405684382482972,0.5827668354638337,7,-0.011530225541493966
3,57975982,0.13680879149438652,1.1037767206123588,1,
6,57976091,0.1631126041684793,0.5708128669129686,7,-0.007007371060366863
9,57975954,0.042489291656324785,0.5300541069023019,7,-3.72326839742344
3,57976053,0.08233403141049833,0.47638013127875595,7,
3,57975962,0.11480004442557834,0.6652456025471811,6,
7,57222618,0.018834786554299654,-0.2919344614022932,5,-0.11994790358389684
3,57976037,0.10629132608693492,0.6139799821182813,7,
3,57222609,0.06942453435923261,-0.17193719766470256,1,
3,57976057,0.10629132608693492,0.6139799821182813,7,
3,57975950,0.07323850247037042,0.26657652982550695,6,
3,57975938,0.11480004442557834,0.6652456025471811,6,
3,57975934,0.10629132608693492,0.6139799821182813,7,
3,57976059,0.10629132608693492,0.6139799821182813,7,
3,57976099,0.10629132608693492,0.6139799821182813,7,
3,57975944,0.10629132608693492,0.6139799821182813,7,
3,58462055,0.1362558665315341,1.1106012574898538,1,
3,57976092,0.11480004442557834,0.6652456025471811,6,
3,57975951,0.10629132608693492,0.6139799821182813,7,
3,57976044,0.16033366450083253,0.8459862509005415,4,
3,57976054,0.10629132608693492,0.6139799821182813,7,
9,57975955,0.03722726874699195,0.6172275504482854,7,-2.3463471607407387
9,57975963,0.08421294502520885,0.5824172068049294,7,-14.889626746105925
7,57222617,0.018834786554299654,-0.2919344614022932,5,-0.11994790358389684
5,57222615,0.01335865696206917,0.3294414211919833,5,
3,57975953,0.10784179320155385,0.5943587053204507,7,
3,57975964,0.12649252606365136,0.7113550156212374,6,
8,57976042,0.037331539381742385,0.8948508220759005,1,-0.277673093570028
3,57976095,0.1070514455755206,0.6043035700457168,7,
3,57976051,0.1070514455755206,0.6043035700457168,7,
3,57976036,0.1070514455755206,0.6043035700457168,7,
3,58462051,0.1155650496465328,0.6559488554645432,6,
9,57975936,0.049995621914215416,0.49438869341441943,7,-5.586909113702079
6,57976033,0.12290510029620363,0.6058229244107066,7,-0.019980680829937203
3,57975937,0.1155650496465328,0.6559488554645432,6,
3,57976049,0.1070514455755206,0.6043035700457168,7,
3,57976047,0.1070514455755206,0.6043035700457168,7,
3,57975956,0.1070514455755206,0.6043035700457168,7,
3,57976098,0.1155650496465328,0.6559488554645432,6,
3,57976045,0.07466307876348477,0.8378475416848887,3,
